transition,lci,median,uci,minus,plus
ZS.to.AS,455.157,517.289,608.091,62.132,90.802
AM.to.AS,0,0,0,0,0
AS.to.ZS,0,0,0,0,0
ZM.to.ZS,0,0,0,0,0
AS.to.AM,1.51,1.517,1.525,0.007,0.008
ZM.to.AM,0,0,0,0,0
AF.to.AM,7.497,8.017,8.637,0.52,0.62
ZS.to.ZM,197.982,227.999,262.852,30.017,34.853
AM.to.ZM,4.329,4.442,4.529,0.113,0.087
ZF.to.ZM,9.717,10.015,10.313,0.298,0.298
AM.to.AF,4.963,5.083,5.22,0.12,0.137
ZF.to.AF,14985.432,16030.342,17300.881,1044.91,1270.539
ZM.to.ZF,0,0,0,0,0
AF.to.ZF,81373.258,90561.393,94174.875,9188.135,3613.482
