transition,lci,median,uci,minus,plus
ZS.to.AS,18.461,18.939,19.382,0.478,0.443
AM.to.AS,0.753,0.848,0.971,0.095,0.123
AS.to.ZS,0,0,0,0,0
ZM.to.ZS,0,0,0,0,0
AS.to.AM,1.075,1.09,1.104,0.015,0.014
ZM.to.AM,0,0,0,0,0
AF.to.AM,76.306,78.354,80.445,2.048,2.091
ZS.to.ZM,0,0,0,0,0
AM.to.ZM,2.947,3.057,3.118,0.11,0.061
ZF.to.ZM,14.448,14.887,15.229,0.439,0.342
AM.to.AF,11.038,11.178,11.285,0.14,0.107
ZF.to.AF,7435.176,9117.024,11720.605,1681.848,2603.581
ZM.to.ZF,0,0,0,0,0
AF.to.ZF,25974.042,32792.86,40506.574,6818.818,7713.714
