AphiaId,Family,Genus
135082,Caryophylliidae,Anomocora
135084,Caryophylliidae,Aulocyathus
135085,Caryophylliidae,Caryophyllia
135086,Caryophylliidae,Ceratotrochus
135087,Scleractinia incertae sedis,Cladocora
135088,Caryophylliidae,Coenocyathus
135089,Caryophylliidae,Coenosmilia
135090,Caryophylliidae,Concentrotheca
135091,Caryophylliidae,Dasmosmilia
135092,Deltocyathidae,Deltocyathus
135093,Caryophylliidae,Desmophyllum
135094,Caryophylliidae,Hoplangia
135095,Caryophylliidae,Lophelia
135096,Caryophylliidae,Paracyathus
135097,Caryophylliidae,Phyllangia
135098,Caryophylliidae,Polycyathus
135099,Caryophylliidae,Pourtalosmilia
135100,Caryophylliidae,Premocyathus
135101,Caryophylliidae,Solenosmilia
135102,Caryophylliidae,Stephanocyathus
135103,Caryophylliidae,Tethocyathus
135104,Caryophylliidae,Thalamophyllia
135105,Caryophylliidae,Trochocyathus
135106,Caryophylliidae,Vaughanella
135107,Dendrophylliidae,Astroides
135108,Dendrophylliidae,Balanophyllia
135109,Dendrophylliidae,Cladopsammia
135110,Dendrophylliidae,Dendrophyllia
135111,Dendrophylliidae,Eguchipsammia
135112,Dendrophylliidae,Enallopsammia
135113,Dendrophylliidae,Leptopsammia
135114,Flabellidae,Flabellum
135115,Flabellidae,Javania
135116,Flabellidae,Monomyces
135117,Flabellidae,Placotrochides
135118,Flabellidae,Truncatoflabellum
135119,Fungiacyathidae,Fungiacyathus
135120,Guyniidae,Guynia
135121,Schizocyathidae,Schizocyathus
135122,Stenocyathidae,Stenocyathus
135123,Oculinidae,Madrepora
135124,Oculinidae,Oculina
135125,Pocilloporidae,Madracis
135126,Rhizangiidae,Astrangia
135127,Turbinoliidae,Deltocyathoides
135128,Turbinoliidae,Peponocyathus
135129,Turbinoliidae,Sphenotrochus
172997,Gardineriidae,Gardineria
173386,Micrabaciidae,Leptopenus
203834,Acroporidae,Montipora
203844,Merulinidae,Mycedium
204053,Astrocoeniidae,Stylocoeniella
204060,Oculinidae,Cyathelia
204068,Pocilloporidae,Stylophora
204148,Psammocoridae,Psammocora
204155,Merulinidae,Leptoria
204200,Scleractinia incertae sedis,Nemenzophyllia
204221,Diploastreidae,Diploastrea
204278,Scleractinia incertae sedis,Leptastrea
204291,Siderastreidae,Siderastrea
204353,Scleractinia incertae sedis,Plerogyra
204354,Faviidae,Isophyllia
204384,Faviidae,Scolymia
204387,Fungiidae,Halomitra
204464,Agariciidae,Agaricia
204552,Fungiidae,Cycloseris
204591,Coscinaraeidae,Coscinaraea
204594,Agariciidae,Gardineroseris
204599,Acroporidae,Astreopora
204646,Lobophylliidae,Cynarina
204717,Montastraeidae,Montastraea
204775,Coscinaraeidae,Craterastrea
204799,Lobophylliidae,Echinophyllia
204891,Merulinidae,Erythrastrea
204933,Coscinaraeidae,Horastrea
204973,Merulinidae,Trachyphyllia
204976,Merulinidae,Hydnophora
205082,Merulinidae,Goniastrea
205121,Pocilloporidae,Seriatopora
205310,Lobophylliidae,Lobophyllia
205315,Euphylliidae,Gyrosmilia
205332,Euphylliidae,Galaxea
205439,Scleractinia incertae sedis,Physogyra
