transition,lci,median,uci,minus,plus
ZS.to.AS,0,0,9.147,0,9.147
AM.to.AS,1.768,1.852,1.962,0.084,0.11
AS.to.ZS,0,0,0,0,0
ZM.to.ZS,1.326,6.372,8.598,5.046,2.226
AS.to.AM,1.011,1.026,1.038,0.015,0.012
ZM.to.AM,0,0,0,0,0
AF.to.AM,67.308,71.161,74.091,3.853,2.93
ZS.to.ZM,0,0,0,0,0
AM.to.ZM,2.39,2.501,2.666,0.111,0.165
ZF.to.ZM,16.698,17.56,18.662,0.862,1.102
AM.to.AF,11.118,11.371,11.542,0.253,0.171
ZF.to.AF,8131.087,10180.523,12363.977,2049.436,2183.454
ZM.to.ZF,0,0,0,0,0
AF.to.ZF,27807.949,32722.621,44086.564,4914.672,11363.943
